Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
"""python ciw_test.py""",3.86,1.64,162%,0:03.38,0.0,0.0,0.0,0.0,68280.0,0.0,2.0,21941.0,25.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.2,1.58,156%,0:03.69,0.0,0.0,0.0,0.0,68652.0,0.0,2.0,21940.0,20.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.76,1.61,144%,0:04.42,0.0,0.0,0.0,0.0,68568.0,0.0,0.0,21937.0,21.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.79,1.43,140%,0:04.43,0.0,0.0,0.0,0.0,68504.0,0.0,1.0,22183.0,25.0,78925.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.57,1.41,143%,0:04.17,0.0,0.0,0.0,0.0,68556.0,0.0,0.0,21936.0,19.0,20484.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.14,1.66,156%,0:03.70,0.0,0.0,0.0,0.0,68396.0,0.0,9.0,22189.0,40.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.59,161%,0:03.44,0.0,0.0,0.0,0.0,68516.0,0.0,0.0,22172.0,24.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.04,1.55,159%,0:03.50,0.0,0.0,0.0,0.0,68552.0,0.0,2.0,22722.0,37.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.92,1.63,161%,0:03.44,0.0,0.0,0.0,0.0,68504.0,0.0,12.0,21934.0,37.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.92,1.61,161%,0:03.43,0.0,0.0,0.0,0.0,68584.0,0.0,0.0,22177.0,25.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.6,161%,0:03.43,0.0,0.0,0.0,0.0,68756.0,0.0,0.0,21668.0,28.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.82,1.67,162%,0:03.37,0.0,0.0,0.0,0.0,68240.0,0.0,12.0,21937.0,42.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.84,1.7,161%,0:03.43,0.0,0.0,0.0,0.0,68632.0,0.0,12.0,22189.0,37.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.03,1.67,158%,0:03.59,0.0,0.0,0.0,0.0,68412.0,0.0,0.0,22178.0,25.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.21,1.65,156%,0:03.75,0.0,0.0,0.0,0.0,68464.0,0.0,11.0,21199.0,36.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.98,1.64,158%,0:03.54,0.0,0.0,0.0,0.0,68440.0,0.0,8.0,22192.0,30.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.94,1.6,161%,0:03.43,0.0,0.0,0.0,0.0,68452.0,0.0,0.0,22185.0,23.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.6,161%,0:03.42,0.0,0.0,0.0,0.0,68452.0,0.0,0.0,21937.0,23.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.61,161%,0:03.44,0.0,0.0,0.0,0.0,68456.0,0.0,1.0,22174.0,32.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.91,1.59,162%,0:03.38,0.0,0.0,0.0,0.0,68456.0,0.0,1.0,22171.0,27.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.83,1.72,161%,0:03.44,0.0,0.0,0.0,0.0,68432.0,0.0,1.0,22180.0,29.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.58,162%,0:03.40,0.0,0.0,0.0,0.0,68416.0,0.0,1.0,21930.0,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.73,161%,0:03.46,0.0,0.0,0.0,0.0,68380.0,0.0,1.0,21928.0,26.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.86,1.67,162%,0:03.41,0.0,0.0,0.0,0.0,68408.0,0.0,12.0,21185.0,34.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.57,162%,0:03.40,0.0,0.0,0.0,0.0,68364.0,0.0,10.0,21940.0,37.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.66,160%,0:03.50,0.0,0.0,0.0,0.0,68348.0,0.0,1.0,22177.0,26.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.87,1.67,162%,0:03.42,0.0,0.0,0.0,0.0,68600.0,0.0,1.0,21931.0,25.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.96,1.63,161%,0:03.47,0.0,0.0,0.0,0.0,68568.0,0.0,1.0,22180.0,26.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.9,1.57,163%,0:03.35,0.0,0.0,0.0,0.0,68456.0,0.0,1.0,22183.0,29.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.86,1.69,161%,0:03.44,0.0,0.0,0.0,0.0,68432.0,0.0,1.0,22173.0,27.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.84,1.65,162%,0:03.37,0.0,0.0,0.0,0.0,68292.0,0.0,9.0,21921.0,33.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.58,161%,0:03.43,0.0,0.0,0.0,0.0,68648.0,0.0,1.0,21934.0,26.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.98,1.63,160%,0:03.50,0.0,0.0,0.0,0.0,68316.0,0.0,0.0,22695.0,26.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.68,161%,0:03.42,0.0,0.0,0.0,0.0,68524.0,0.0,0.0,21656.0,20.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.6,159%,0:03.42,0.0,0.0,0.0,0.0,68748.0,0.0,1.0,22185.0,34.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.03,1.6,160%,0:03.52,0.0,0.0,0.0,0.0,68520.0,0.0,7.0,21934.0,28.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.86,1.63,162%,0:03.37,0.0,0.0,0.0,0.0,68552.0,0.0,0.0,22174.0,27.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.98,1.6,161%,0:03.46,0.0,0.0,0.0,0.0,68208.0,0.0,1.0,21919.0,31.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.62,161%,0:03.45,0.0,0.0,0.0,0.0,68216.0,0.0,1.0,21921.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.03,1.6,160%,0:03.51,0.0,0.0,0.0,0.0,68572.0,0.0,1.0,22187.0,36.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.81,1.6,164%,0:03.30,0.0,0.0,0.0,0.0,68520.0,0.0,0.0,21925.0,26.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.58,162%,0:03.40,0.0,0.0,0.0,0.0,68396.0,0.0,12.0,21937.0,43.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.92,1.6,162%,0:03.40,0.0,0.0,0.0,0.0,68228.0,0.0,1.0,22173.0,24.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.01,1.6,160%,0:03.50,0.0,0.0,0.0,0.0,68396.0,0.0,0.0,22179.0,24.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.79,1.67,163%,0:03.34,0.0,0.0,0.0,0.0,67980.0,0.0,1.0,22688.0,26.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.9,1.68,160%,0:03.48,0.0,0.0,0.0,0.0,68464.0,0.0,1.0,21926.0,28.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.58,162%,0:03.41,0.0,0.0,0.0,0.0,68680.0,0.0,0.0,22186.0,21.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.97,1.61,160%,0:03.48,0.0,0.0,0.0,0.0,68524.0,0.0,1.0,22180.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.82,1.66,162%,0:03.36,0.0,0.0,0.0,0.0,68404.0,0.0,1.0,21181.0,24.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.97,1.61,161%,0:03.47,0.0,0.0,0.0,0.0,68424.0,0.0,12.0,22698.0,36.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.68,1.7,164%,0:03.27,0.0,0.0,0.0,0.0,68588.0,0.0,0.0,22180.0,24.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.96,1.62,161%,0:03.46,0.0,0.0,0.0,0.0,68588.0,0.0,1.0,21933.0,24.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.88,1.63,161%,0:03.41,0.0,0.0,0.0,0.0,68444.0,0.0,0.0,21927.0,26.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.0,1.68,159%,0:03.57,0.0,0.0,0.0,0.0,68588.0,0.0,12.0,22189.0,41.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.84,1.66,162%,0:03.39,0.0,0.0,0.0,0.0,68728.0,0.0,1.0,22184.0,24.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.97,1.65,160%,0:03.50,0.0,0.0,0.0,0.0,68548.0,0.0,11.0,22183.0,40.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.78,1.68,163%,0:03.35,0.0,0.0,0.0,0.0,68492.0,0.0,0.0,22174.0,23.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.65,162%,0:03.38,0.0,0.0,0.0,0.0,68584.0,0.0,12.0,21935.0,37.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.97,1.58,161%,0:03.44,0.0,0.0,0.0,0.0,68456.0,0.0,0.0,21935.0,27.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.02,1.65,159%,0:03.55,0.0,0.0,0.0,0.0,68368.0,0.0,0.0,22165.0,26.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.02,1.62,160%,0:03.52,0.0,0.0,0.0,0.0,68556.0,0.0,0.0,22178.0,29.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.57,164%,0:03.30,0.0,0.0,0.0,0.0,68520.0,0.0,9.0,22183.0,37.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.79,1.72,162%,0:03.39,0.0,0.0,0.0,0.0,68628.0,0.0,1.0,21940.0,25.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.85,1.68,162%,0:03.41,0.0,0.0,0.0,0.0,68624.0,0.0,12.0,22186.0,44.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.9,1.72,160%,0:03.50,0.0,0.0,0.0,0.0,68412.0,0.0,1.0,22180.0,31.0,2169.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.02,1.62,160%,0:03.52,0.0,0.0,0.0,0.0,68476.0,0.0,1.0,22175.0,40.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.84,1.67,162%,0:03.40,0.0,0.0,0.0,0.0,68620.0,0.0,10.0,22187.0,38.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.61,161%,0:03.44,0.0,0.0,0.0,0.0,68464.0,0.0,9.0,22181.0,31.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.89,1.6,162%,0:03.37,0.0,0.0,0.0,0.0,68360.0,0.0,8.0,21929.0,36.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.03,1.61,160%,0:03.52,0.0,0.0,0.0,0.0,68280.0,0.0,1.0,21928.0,31.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.65,161%,0:03.47,0.0,0.0,0.0,0.0,68496.0,0.0,1.0,22182.0,28.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.87,1.66,161%,0:03.42,0.0,0.0,0.0,0.0,68532.0,0.0,0.0,21926.0,31.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.97,1.61,160%,0:03.48,0.0,0.0,0.0,0.0,68384.0,0.0,0.0,21939.0,24.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.63,1.66,166%,0:03.18,0.0,0.0,0.0,0.0,68236.0,0.0,0.0,22174.0,30.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.88,1.67,161%,0:03.43,0.0,0.0,0.0,0.0,68432.0,0.0,12.0,22187.0,36.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.92,1.61,161%,0:03.42,0.0,0.0,0.0,0.0,68408.0,0.0,1.0,22173.0,26.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.91,1.68,160%,0:03.48,0.0,0.0,0.0,0.0,68620.0,0.0,0.0,22213.0,37.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.6,1.58,167%,0:03.09,0.0,0.0,0.0,0.0,68408.0,0.0,0.0,22175.0,28.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",4.02,1.52,161%,0:03.43,0.0,0.0,0.0,0.0,68436.0,0.0,0.0,21941.0,20.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.99,1.58,161%,0:03.46,0.0,0.0,0.0,0.0,68572.0,0.0,0.0,22181.0,26.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.61,1.64,166%,0:03.16,0.0,0.0,0.0,0.0,68440.0,0.0,1.0,21935.0,36.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.87,1.71,161%,0:03.47,0.0,0.0,0.0,0.0,68552.0,0.0,1.0,22180.0,27.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.87,1.71,161%,0:03.47,0.0,0.0,0.0,0.0,68480.0,0.0,0.0,22171.0,25.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.59,161%,0:03.43,0.0,0.0,0.0,0.0,68440.0,0.0,1.0,22178.0,50.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.95,1.58,161%,0:03.43,0.0,0.0,0.0,0.0,68272.0,0.0,12.0,21930.0,45.0,23889.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.93,1.57,162%,0:03.39,0.0,0.0,0.0,0.0,68480.0,0.0,1.0,21935.0,30.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python ciw_test.py""",3.92,1.57,162%,0:03.38,0.0,0.0,0.0,0.0,68304.0,0.0,12.0,22701.0,48.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
